biomass,biomass_author,biomass_year,biomass_journal,biomass_doi,biomass_database,biomass_mosaic,biomass_notes,height,height_author,height_year,height_journal,height_doi,height_database,height_mosaic,height_notes,growthdet,growthdet_author,growthdet_year,growthdet_journal,growthdet_doi,growthdet_database,growthdet_mosaic,growthdet_notes,regen,regen_author,regen_year,regen_journal,regen_doi,regen_database,regen_mosaic,regen_notes,dimorph,dimorph_author,dimorph_year,dimorph_journal,dimorph_doi,dimorph_database,dimorph_mosaic,dimorph_notes,matsyst,matsyst_author,matsyst_year,matsyst_journal,matsyst_doi,matsyst_database,matsyst_mosaic,matsyst_notes,hermaph,hermaph_author,hermaph_year,hermaph_journal,hermaph_doi,hermaph_database,hermaph_mosaic,hermaph_notes,seqherm,seqherm_author,seqherm_year,seqherm_journal,seqherm_doi,seqherm_database,seqherm_mosaic,seqherm_notes,dispcap,dispcap_author,dispcap_year,dispcap_journal,dispcap_doi,dispcap_database,dispcap_mosaic,dispcap_notes,disptype,disptype_author,disptype_year,disptype_journal,disptype_doi,disptype_database,disptype_mosaic,disptype_notes,checkModeDisp,modedisp_author,modedisp_year,modedisp_journal,modedispe_doi,modedisp_database,modedisp_mosaic,modedisp_notes,dispclass,dispclass_author,dispclass_year,dispclass_journal,dispclass_doi,dispclass_database,dispclass_mosaic,dispclass_notes,volancy,volancy_author,volancy_year,volancy_journal,volancy_doi,volancy_database,volancy_mosaic,volancy_notes,aquadep,aquadep_author,aquadep_year,aquadep_journal,aquadep_doi,aquadep_database,aquadep_mosaic,aquadep_notes,specieslist
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Indeterminate,"Kolpakov, E., & Kolpakov, N.",2005,Russ J Mar Biol,10.1007/s11179-005-0062-1,NDY,NDY,,Regenerative,Gallespie et al.,2001,NDY,1480-4883,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Hermaphroditic & Gonochorous,"Dudas, S. E., & Dower, J. F.",2006,Mar. Ecol. Prog. Ser.,10.3354/meps320195,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Dudas, S. E & Dower, J. F.",2006,Marine Ecology Progress Series,doi.org/10.3354/meps320195,NDY,NDY,,Passive,"Dudas, S. E & Dower, J. F.",2006,Marine Ecology Progress Series,doi.org/10.3354/meps320195,NDY,NDY,,Water currents,"Dudas, S. E & Dower, J. F.",2006,Marine Ecology Progress Series,doi.org/10.3354/meps320195,NDY,NDY,,Larval,"Dudas, S. E & Dower, J. F.",2006,Marine Ecology Progress Series,doi.org/10.3354/meps320195,NDY,NDY,,Non-volant,"Dudas, S. E & Dower, J. F.",2006,Marine Ecology Progress Series,doi.org/10.3354/meps320195,NDY,NDY,,Marine,"Byers, J.E",2002,Oecologia,10.1007/s004420100777,NDY,NDY,,Nuttallia obscurata
65320,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Pérez‐Barbería, F. J., Gordon, I. J., & Pagel, M.",2002,Evolution,10.1111/j.0014-3820.2002.tb01438.x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Nelson, M. E. & Mech, L. D.",1992,Journal of Mammalogy,doi.org/10.2307/1382212,NDY,NDY,,Active,"Nelson, M. E. & Mech, L. D.",1992,Journal of Mammalogy,doi.org/10.2307/1382212,NDY,NDY,,Motile,"Nelson, M. E. & Mech, L. D.",1992,Journal of Mammalogy,doi.org/10.2307/1382212,NDY,NDY,,Juvenile,"Nelson, M. E. & Mech, L. D.",1992,Journal of Mammalogy,doi.org/10.2307/1382212,NDY,NDY,,Non-volant,"Nelson, M. E. & Mech, L. D.",1992,Journal of Mammalogy,doi.org/10.2307/1382212,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Brunjes, K.J. et al.",2006,Journal of Wildlife Management,www.jstor.org/stable/4128056,NDY,NDY,,Odocoileus virginianus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Monomorphic,"Froese, R. & Pauly, D.",2021,NDY,NDY,rFishbase,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Bradford, M. J. & Taylor, G. C.",1997,Canadian Journal of Fisheries and Aquatic Sciences,doi.org/10.1139/f97-065,NDY,NDY,,Active,"Bradford, M. J. & Taylor, G. C.",1997,Canadian Journal of Fisheries and Aquatic Sciences,doi.org/10.1139/f97-065,NDY,NDY,,Motile,"Bradford, M. J. & Taylor, G. C.",1997,Canadian Journal of Fisheries and Aquatic Sciences,doi.org/10.1139/f97-065,NDY,NDY,,Juvenile,"Bradford, M. J. & Taylor, G. C.",1997,Canadian Journal of Fisheries and Aquatic Sciences,doi.org/10.1139/f97-065,NDY,NDY,,Non-volant,"Bradford, M. J. & Taylor, G. C.",1997,Canadian Journal of Fisheries and Aquatic Sciences,doi.org/10.1139/f97-065,NDY,NDY,,Anadromous,"Quinn, T.P.; Kinnison, M.T.; & Unwin, M.J.",2001,"Book (Microevolution: Rate, Pattern, Process)",10.1007/978-94-010-0585-2_30,NDY,NDY,,Oncorhynchus tshawytscha
5226,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Fisher, D. O.",1999,Behav. Ecol. Sociobiol.,10.1007/s002650050578,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Fisher, D. & Lara, M.",1999,Anim. Behav.,10.1006/anbe.1999.1119,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Fisher, D. O.",1999,Behavioral Ecology and Sociobiology,doi.org/10.1007/s002650050578,NDY,NDY,,Active,"Fisher, D. O.",1999,Behavioral Ecology and Sociobiology,doi.org/10.1007/s002650050578,NDY,NDY,,Motile,"Fisher, D. O.",1999,Behavioral Ecology and Sociobiology,doi.org/10.1007/s002650050578,NDY,NDY,,Adult,"Fisher, D. O.",1999,Behavioral Ecology and Sociobiology,doi.org/10.1007/s002650050578,NDY,NDY,,Non-volant,"Fisher, D. O.",1999,Behavioral Ecology and Sociobiology,doi.org/10.1007/s002650050578,NDY,NDY,,"Terrestrial, Water Habitat Independent","Fisher, D.O.",2001,Journal of Applied Ecology,10.1046/j.1365-2664.2000.00518.x,NDY,NDY,,Onychogalea fraenata
4300000,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Clark, S. T., & Odell, D. K.",1999,J. Mammal.,10.2307/1383247,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Baird, R. W. & Whitehead, H.",2000,Canadian Journal of Zoology,doi.org/10.1139/z00-155,NDY,NDY,,Active,"Baird, R. W. & Whitehead, H.",2000,Canadian Journal of Zoology,doi.org/10.1139/z00-155,NDY,NDY,,Motile,"Baird, R. W. & Whitehead, H.",2000,Canadian Journal of Zoology,doi.org/10.1139/z00-155,NDY,NDY,,Adult,"Baird, R. W. & Whitehead, H.",2000,Canadian Journal of Zoology,doi.org/10.1139/z00-155,NDY,NDY,,Non-volant,"Baird, R. W. & Whitehead, H.",2000,Canadian Journal of Zoology,doi.org/10.1139/z00-155,NDY,NDY,,Marine,"Filatova, O.A. et al.",2019,Polar Biology,10.1007/s00300-019-02484-6,NDY,NDY,,Orcinus orca
77228,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Côté, S. D., Festa-Bianchet, M., & Smith, K. G.",1998,J. Mammal.,10.2307/1382971,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Multi-dispersal,"Williams, J. S.",1999,Wildlife Society Bulletin,www.jstor.org/stable/3783661,NDY,NDY,,Active,"Williams, J. S.",1999,Wildlife Society Bulletin,www.jstor.org/stable/3783661,NDY,NDY,,Motile,"Williams, J. S.",1999,Wildlife Society Bulletin,www.jstor.org/stable/3783661,NDY,NDY,,Adult and Juvenile,"Williams, J. S.",1999,Wildlife Society Bulletin,www.jstor.org/stable/3783661,NDY,NDY,,Non-volant,"Williams, J. S.",1999,Wildlife Society Bulletin,www.jstor.org/stable/3783661,NDY,NDY,,"Terrestrial, Water Habitat Independent","Gross, J.E.; et al.",2002,Journal of Mammalogy,https://www.jstor.org/stable/1383448,NDY,NDY,,Oreamnos americanus
110000,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Perez-Barberia, F. J., & Gordon, I. J.",1999,Oecologia,10.1007/s004420050856,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,"Terrestrial, Water Habitat Independent","Baskin, L.; & Danell, K.",2003,Book (Ecology of Ungulates),10.1007/978-3-662-06820-5_21,NDY,NDY,,Ovis aries
69125,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"LeBlanc, M., Festa-Bianchet, M., & Jorgenson, J. T.",2001,Can. J. Zool.,10.1139/z01-128,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Ruckstuhl, K. E.",1999,Behaviour,10.1163/156853999501577,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Epps, C. W. et al.",2007,Journal of Applied Ecology,doi.org/10.1111/j.1365-2664.2007.01325.x,NDY,NDY,,Active,"Epps, C. W. et al.",2007,Journal of Applied Ecology,doi.org/10.1111/j.1365-2664.2007.01325.x,NDY,NDY,,Motile,"Epps, C. W. et al.",2007,Journal of Applied Ecology,doi.org/10.1111/j.1365-2664.2007.01325.x,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Non-volant,"Epps, C. W. et al.",2007,Journal of Applied Ecology,doi.org/10.1111/j.1365-2664.2007.01325.x,NDY,NDY,,"Terrestrial, Water Habitat Independent","Bleich, V.C. et al.",2009,European Journal of Wildlife Research,10.1007/s10344-008-0234-3,NDY,NDY,,Ovis canadensis
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Mitani, J. C., Gros-Louis, J., & Richards, A. F.",1996,Am. Nat.,10.1086/285888,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Pusey, A., Williams, J. & Goodall, J.",1997,Science,doi.org/10.1126/science.277.5327.828,NDY,NDY,,Active,"Pusey, A., Williams, J. & Goodall, J.",1997,Science,doi.org/10.1126/science.277.5327.828,NDY,NDY,,Motile,"Pusey, A., Williams, J. & Goodall, J.",1997,Science,doi.org/10.1126/science.277.5327.828,NDY,NDY,,Juvenile,"Pusey, A., Williams, J. & Goodall, J.",1997,Science,doi.org/10.1126/science.277.5327.828,NDY,NDY,,Non-volant,"Pusey, A., Williams, J. & Goodall, J.",1997,Science,doi.org/10.1126/science.277.5327.828,NDY,NDY,,"Terrestrial, Water Habitat Independent","Chancellor, R.L.; Rundus, A.S.; & Nyandwi, S.",2012,International Journal of Primatology,10.1007/s10764-011-9561-4,NDY,NDY,,Pan troglodytes schweiNDurthii
53075,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Determinate,"Leigh, S.",1974,Am J Phys Anthropol,10.1002/ajpa.1330940406,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Law, C.J",2019,Sci. Rep.,10.1038/s41598-019-51943-x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Fattebert, J. et al.",2015,PLoS One,doi.org/10.1371/journal.pone.0122355,NDY,NDY,,Active,"Fattebert, J. et al.",2015,PLoS One,doi.org/10.1371/journal.pone.0122355,NDY,NDY,,Motile,"Fattebert, J. et al.",2015,PLoS One,doi.org/10.1371/journal.pone.0122355,NDY,NDY,,Juvenile,"Fattebert, J. et al.",2015,PLoS One,doi.org/10.1371/journal.pone.0122355,NDY,NDY,,Non-volant,"Fattebert, J. et al.",2015,PLoS One,doi.org/10.1371/journal.pone.0122355,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Balme, G.; Hunter, L.; & Slotow, R.",2007,Animal Behaviour,10.1016/j.anbehav.2006.12.014,NDY,NDY,,Panthera pardus
17851,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniota,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,"Parr, C. S. et al.",2014,Biodivers. Data J..,10.3897/BDJ.2.e1079,EOL,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Smith, E. O.",1992,Folia Primatologica,doi.org/10.1159/000156657,NDY,NDY,,Active,"Smith, E. O.",1992,Folia Primatologica,doi.org/10.1159/000156657,NDY,NDY,,Motile,"Smith, E. O.",1992,Folia Primatologica,doi.org/10.1159/000156657,NDY,NDY,,Adult,"Smith, E. O.",1992,Folia Primatologica,doi.org/10.1159/000156657,NDY,NDY,,Non-volant,"Smith, E. O.",1992,Folia Primatologica,doi.org/10.1159/000156657,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Bentley-Condit, V.K.",2009,American Journal of Primatology,10.1002/ajp.20670,NDY,NDY,,Papio cynocephalus
NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Indeterminate,"Hirst, A. & Forster, J.",2013,Philos. Trans. R. Soc. B.,10.1098/rspb.2013.1546,NDY,NDY,,Regenerative,Bavestrello,1997,Aquat. Conserv.,10.1002/(SICI)1099-0755(199709)7:3<253::AID-AQC243>3.0.CO;2-1,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,"Ribesl, R. M., Zabala, M., & Gilil, J. M.",1995,Mar. Ecol. Prog. Ser.,10.3354/meps117173,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Linares, C. et al.",2008,Invertebrate Biology,doi.org/10.1111/j.1744-7410.2007.00109.x,NDY,NDY,,Active and Passive,"Linares, C. et al.",2008,Invertebrate Biology,doi.org/10.1111/j.1744-7410.2007.00109.x,NDY,NDY,,Motile and Water currents,"Linares, C. et al.",2008,Invertebrate Biology,doi.org/10.1111/j.1744-7410.2007.00109.x,NDY,NDY,,Larval,"Linares, C. et al.",2008,Invertebrate Biology,doi.org/10.1111/j.1744-7410.2007.00109.x,NDY,NDY,,Non-volant,"Linares, C. et al.",2008,Invertebrate Biology,doi.org/10.1111/j.1744-7410.2007.00109.x,NDY,NDY,,Marine,"Linares, C. et al.",2007,Ecology,10.1890/05-1931,NDY,NDY,,Paramuricea clavata
763,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Monomorphic,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniota,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Gonochorous,"Parr, C. S. et al.",2014,Biodivers. Data J..,10.3897/BDJ.2.e1079,EOL,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Galushin, V. M.",1974,Ibis,doi.org/10.1111/j.1474-919X.1974.tb00232.x,NDY,NDY,,Active,"Galushin, V. M.",1974,Ibis,doi.org/10.1111/j.1474-919X.1974.tb00232.x,NDY,NDY,,Motile,"Galushin, V. M.",1974,Ibis,doi.org/10.1111/j.1474-919X.1974.tb00232.x,NDY,NDY,,Adult,"Galushin, V. M.",1974,Ibis,doi.org/10.1111/j.1474-919X.1974.tb00232.x,NDY,NDY,,Volant,"Galushin, V. M.",1974,Ibis,doi.org/10.1111/j.1474-919X.1974.tb00232.x,NDY,NDY,,"Terrestrial, Facultative Freshwater Dependent","Gamauf, A.; Tebb, G.; & Nemeth, E.",2013,Ibis,10.1111/ibi.12023,NDY,NDY,,Pernis apivorus
1141,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Monomorphic,"McGregor, D. C., et al.",2020,Sci. Rep.,10.1038/s41598-020-76364-z,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Lindenmayer, D. B.",1997,J Mamm,10.2307/1383054,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Harris, J. M. & Maloney, K. S.",2010,Mammalian Species,doi.org/10.1644/866.1,NDY,NDY,,Active,"Harris, J. M. & Maloney, K. S.",2010,Mammalian Species,doi.org/10.1644/866.1,NDY,NDY,,Motile,"Harris, J. M. & Maloney, K. S.",2010,Mammalian Species,doi.org/10.1644/866.1,NDY,NDY,,Juvenile,"Harris, J. M. & Maloney, K. S.",2010,Mammalian Species,doi.org/10.1644/866.1,NDY,NDY,,Semi-volant,"Harris, J. M. & Maloney, K. S.",2010,Mammalian Species,doi.org/10.1644/866.1,NDY,NDY,,"Terrestrial, Water Habitat Independent","Eyre, T.J.",2006,Forest Ecology and Management,10.1016/j.foreco.2006.08.338,NDY,NDY,,Petauroides volans
73304,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Pérez‐Barbería, F. J., Gordon, I. J., & Pagel, M.",2002,Evolution,10.1111/j.0014-3820.2002.tb01438.x,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,"Clayton, L. & MacDonald, D. W.",1999,J Mamm,10.2307/1383165,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Somers, M. J., Penzhorn, B. L. & Rasa, O. A. E.",1994,Journal of African Zoology,https://www.researchgate.net/publication/237845422_Home_range_size_range_use_and_dispersal_of_warthogs_in_the_Eastern_Cape_South_Africa,NDY,NDY,,Active,"Somers, M. J., Penzhorn, B. L. & Rasa, O. A. E.",1994,Journal of African Zoology,https://www.researchgate.net/publication/237845422_Home_range_size_range_use_and_dispersal_of_warthogs_in_the_Eastern_Cape_South_Africa,NDY,NDY,,Motile,"Somers, M. J., Penzhorn, B. L. & Rasa, O. A. E.",1994,Journal of African Zoology,https://www.researchgate.net/publication/237845422_Home_range_size_range_use_and_dispersal_of_warthogs_in_the_Eastern_Cape_South_Africa,NDY,NDY,,Juvenile,"Somers, M. J., Penzhorn, B. L. & Rasa, O. A. E.",1994,Journal of African Zoology,https://www.researchgate.net/publication/237845422_Home_range_size_range_use_and_dispersal_of_warthogs_in_the_Eastern_Cape_South_Africa,NDY,NDY,,Non-volant,"Somers, M. J., Penzhorn, B. L. & Rasa, O. A. E.",1994,Journal of African Zoology,https://www.researchgate.net/publication/237845422_Home_range_size_range_use_and_dispersal_of_warthogs_in_the_Eastern_Cape_South_Africa,NDY,NDY,,"Terrestrial, Obligative Freshwater Dependent","D'Huart, J.P.; & Grubb, P.",2003,African Journal of Ecology,10.1046/j.0141-6707.2000.00298.x,NDY,NDY,,Phacochoerus aethiopicus
1877,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Monomorphic,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniota,NDY,,Monogamous,"Parr, C. S. et al.",2014,Biodivers. Data J..,10.3897/BDJ.2.e1079,EOL,NDY,,Gonochorous,NDY,NDY,NDY,NDY,EOL,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Breeding Dispersal,"Duerr, A. E., Donovan, T. M. & Capen, D. E.",2007,The Journal of Wildlife Management,doi.org/10.2193/2006-527,NDY,NDY,,Active,"Duerr, A. E., Donovan, T. M. & Capen, D. E.",2007,The Journal of Wildlife Management,doi.org/10.2193/2006-527,NDY,NDY,,Motile,"Duerr, A. E., Donovan, T. M. & Capen, D. E.",2007,The Journal of Wildlife Management,doi.org/10.2193/2006-527,NDY,NDY,,Adult,"Duerr, A. E., Donovan, T. M. & Capen, D. E.",2007,The Journal of Wildlife Management,doi.org/10.2193/2006-527,NDY,NDY,,Volant,"Duerr, A. E., Donovan, T. M. & Capen, D. E.",2007,The Journal of Wildlife Management,doi.org/10.2193/2006-527,NDY,NDY,,"Terrestrial, Obligative Marine Water Dependent","Craig, E.C. et al.",2015,Waterbirds,10.1675/063.038.0410,NDY,NDY,,Phalacrocorax auritus
94283,"Myhrvold, N.P. et al.",2015,Ecology,10.1890/15-0846R.1,Amniote,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Dimorphic,"Hauksson, E.",2006,Mar. Biol. Res.,10.1080/17451000600650038,NDY,NDY,,Non-monogamous,"Lukas, D., & Clutton-Brock, T. H.",2013,Science,10.1126/science.1238677,NDY,NDY,,Gonochorous,The Tree of Sex Consortium,2014,Sci. Data,10.1038/sdata.2014.15,Tree of Sex,NDY,,NDY,NDY,NDY,NDY,NDY,NDY,NDY,,Natal Dispersal,"Thompson, P. M., Kovacs, K. M. & McCocConnell, B. J.",1994,Journal of Zoology,doi.org/10.1111/j.1469-7998.1994.tb04873.x,NDY,NDY,,Active,"Thompson, P. M., Kovacs, K. M. & McCocConnell, B. J.",1994,Journal of Zoology,doi.org/10.1111/j.1469-7998.1994.tb04873.x,NDY,NDY,,Motile,"Thompson, P. M., Kovacs, K. M. & McCocConnell, B. J.",1994,Journal of Zoology,doi.org/10.1111/j.1469-7998.1994.tb04873.x,NDY,NDY,,Juvenile,"Thompson, P. M., Kovacs, K. M. & McCocConnell, B. J.",1994,Journal of Zoology,doi.org/10.1111/j.1469-7998.1994.tb04873.x,NDY,NDY,,Non-volant,"Thompson, P. M., Kovacs, K. M. & McCocConnell, B. J.",1994,Journal of Zoology,doi.org/10.1111/j.1469-7998.1994.tb04873.x,NDY,NDY,,"Terrestrial, Obligative Marine Water Dependent","Tollit, D.J. et al.",2006,Journal of Zoology,10.1111/j.1469-7998.1998.tb00026.x,NDY,NDY,,Phoca vitulina
